Crop;Approx_domestication;First_domestication_location;Soil_depth;Soil_nutrients;Preferred_rainfall;Temperature_range_C;Insolation;Preferred_soil_texture;Yield_low_t_ha;Yield_avg_t_ha;Yield_high_t_ha;Nitrogen Fixing (yes/no);Fibrous (yes/no);Spice (yes/no);Used for brewing tea/coffee/drinks;Fermented for beer/wine (yes/no);Sources (URLs), separate with `|` for parsing
Wheat (Triticum spp.);~10000–9000 BP;Fertile Crescent (Levant);Medium;Medium–rich;300–900 mm/yr (rainfed);5–25;Medium;Loam, silt loam;0.5;3;8;;;;;;
Rice (Oryza sativa);~9000–7000 BP;Yangtze River valley (China);Shallow–medium (puddled);Medium–rich;1000–2000 mm/yr;20–35;High;Clay loam, silty clay;1.5;4.5;10;;;;;;
Maize / Corn (Zea mays);~9000 BP;Balsas River Valley (Mexico);Medium–deep;Medium–rich;500–1200 mm/yr;15–32;High;Loam, sandy loam;1;4;12;;;;;;
Barley (Hordeum vulgare);~10000 BP;Fertile Crescent;Shallow–medium;Medium;200–600 mm/yr;0–30;Medium;Sandy loam to loam;0.6;2.5;6;;;;;;
Sorghum (Sorghum bicolor);~5000–3000 BP;East Africa (Sudan region);Medium–deep;Low–medium;300–800 mm/yr;15–35;High;Sandy loam, loam;0.4;1.5;6;;;;;;
Millet (Pearl millet, Pennisetum glaucum);~4000–3000 BP;Sahel / West Africa;Shallow–medium;Low–medium;200–600 mm/yr;20–35;High;Sandy to loam;0.2;1;3;;;;;;
Teff (Eragrostis tef);~3000 BP;Ethiopia (Horn of Africa);Shallow;Low–medium;400–900 mm/yr;15–25;Medium;Loam, well-drained;0.4;1.7;3.5;;;;;;
Oats (Avena sativa);~3000 BP;Eurasia (likely Fertile Crescent/Europe);Medium;Medium;400–1000 mm/yr;5–25;Medium;Loam, clay loam;0.8;3;6.5;;;;;;
Rye (Secale cereale);~3000 BP;Eurasia (Central/Western Asia, Europe);Medium;Medium;300–800 mm/yr;0–25;Medium;Sandy loam to loam;0.5;2;5;;;;;;
Quinoa (Chenopodium quinoa);~6000–5000 BP;Andes (Peru/Bolivia);Shallow–medium;Low–medium;300–800 mm/yr;5–22;High;Sandy loam to loam;0.2;1;3;;;;;;
Amaranth (Amaranthus spp.);~4000–3000 BP;Central/South America;Shallow–medium;Low–medium;300–900 mm/yr;10–30;High;Sandy loam, loam;0.3;1;3;;;;;;
Buckwheat (Fagopyrum esculentum);~3000–2000 BP;Central Asia/East Asia;Shallow;Low–medium;400–1000 mm/yr;5–25;Medium;Light, well-drained soils;0.5;1.5;3;;;;;;
Soya / Soybean (Glycine max);~3000–2500 BP;East Asia (China);Medium;High;500–1200 mm/yr;15–30;High;Loam, silty loam;0.8;2.5;4;;;;;;
Chickpea (Cicer arietinum);~9000–7000 BP;Fertile Crescent / Turkey region;Shallow–medium;Low–medium;300–700 mm/yr;10–30;Medium;Loam, clay loam;0.2;0.8;1.8;;;;;;
Lentil (Lens culinaris);~9000–8000 BP;Fertile Crescent;Shallow;Low–medium;300–700 mm/yr;5–30;Medium;Loam, sandy loam;0.2;0.9;2;;;;;;
Pea (Pisum sativum);~9000–7000 BP;Fertile Crescent / Mediterranean;Shallow;Medium;400–1000 mm/yr;5–25;Medium;Loam, sandy loam;0.5;2;4;;;;;;
Cowpea (Vigna unguiculata);~3000–2000 BP;West Africa;Shallow–medium;Low–medium;300–800 mm/yr;20–35;High;Sandy loam;0.2;0.8;2;;;;;;
Peanut / Groundnut (Arachis hypogaea);~3500–3000 BP;South America (Paraguay/Brazil);Shallow;Medium;500–1200 mm/yr;18–30;High;Sandy loam;0.5;1.5;4;;;;;;
Common bean (Phaseolus vulgaris);~8000 BP;Mesoamerica & Andes (independent centers);Shallow–medium;Medium;500–1500 mm/yr;15–30;High;Loam, sandy loam;0.3;1.2;3;;;;;;
Potato (Solanum tuberosum);~7000–5000 BP;Andes (Peru/Bolivia);Medium–deep;Medium–rich;500–1500 mm/yr;5–20;Medium;Loam, well-drained;5;12;40;;;;;;
Sweet potato (Ipomoea batatas);~5000–3000 BP;New Guinea and/or tropical Americas;Shallow–medium;Medium;1000–2000 mm/yr;18–30;High;Sandy loam to loam;5;10;30;;;;;;
Cassava / Manioc (Manihot esculenta);~5000–3000 BP;South America (Brazil/Paraguay);Shallow–medium;Low–medium;800–2000 mm/yr;20–35;High;Sandy to loam;5;12;40;;;;;;
Yam (Dioscorea spp.);~3000–2000 BP;West Africa & Southeast Asia;Medium–deep;Medium;1000–2000 mm/yr;20–30;High;Loam, friable soils;5;10;25;;;;;;
Banana / Plantain (Musa spp.);~7000–5000 BP;Southeast Asia / New Guinea;Shallow–medium;High;1200–3000 mm/yr;15–35;High;Loam, rich organic soils;10;30;80;;;;;;
Plantain (cooking banana) (Musa spp.);Ancient;Southeast Asia;Shallow–medium;High;1200–3000 mm/yr;18–30;High;Loam, high organic;8;25;60;;;;;;
Sugarcane (Saccharum officinarum);~8000–5000 BP;New Guinea;Shallow–deep;High;1500–3000 mm/yr;20–35;High;Clay loam to loam;40;70;150;;;;;;
Cocoa / Cacao (Theobroma cacao);~3000–2000 BP;Amazonia / Upper Amazon;Shallow;High;1500–3000 mm/yr;18–28;Medium;Loam, well-drained, high organic;0.3;0.8;3;;;;;;
Coffee (Coffea arabica);~1000 BP (domestication);Ethiopia (forests);Shallow–medium;Medium–rich;1200–2500 mm/yr;15–24;Medium;Loam, rich humus;0.3;0.8;2;;;;;;
Tea (Camellia sinensis);~5000–3000 BP (cultivation);China (Yunnan area);Shallow;Medium;1000–2500 mm/yr;10–30;Medium;Acidic loam;0.5;2;4;;;;;;
Olive (Olea europaea);~6000 BP;Eastern Mediterranean;Shallow–medium;Low–medium;400–700 mm/yr;10–35;High;Stony, well-drained loam;1;3;8 (olive oil equiv.);;;;;;
Date palm (Phoenix dactylifera);~6000–5000 BP;Mesopotamia / Arabian Peninsula;Deep;Medium;100–300 mm/yr (irrigated);20–45;High;Sandy loam, deep soils;5;12;30 (fruit t/ha);;;;;;
Fig (Ficus carica);~9000 BP;Eastern Mediterranean;Shallow–medium;Medium;400–1000 mm/yr;10–35;High;Loam, well-drained;2;8;20;;;;;;
Grapevine (Vitis vinifera);~8000–6000 BP;Near East (Caucasus/Anatolia);Shallow–medium;Medium;400–1000 mm/yr;10–30;High;Gravelly loam to loam;2;10;20;;;;;;
Apple (Malus domestica);~4000–3000 BP;Central Asia (Kazakhstan);Shallow–medium;Medium;500–1000 mm/yr;0–25;Medium;Loam, deep;10;30;60;;;;;;
Pear (Pyrus communis);~3000–2000 BP;Eurasia;Shallow–medium;Medium;500–1000 mm/yr;0–25;Medium;Loam, well-drained;10;25;50;;;;;;
Mango (Mangifera indica);~4000–2500 BP;South Asia (India);Shallow–medium;Medium–rich;750–2500 mm/yr;20–35;High;Deep loam;5;10;30;;;;;;
Citrus (orange, lemon, lime) (Citrus spp.);Domesticated multiple times;Southeast Asia / South China;Shallow–medium;Medium–rich;1000–2000 mm/yr;15–35;High;Loam, sandy loam;10;25;60;;;;;;
Pomegranate (Punica granatum);~5000 BP;Iran / northern India;Shallow–medium;Low–medium;400–1000 mm/yr;10–30;High;Loam, sandy loam;5;10;25;;;;;;
Sunflower (Helianthus annuus);~4000–3000 BP;North America (Central US/Mexico);Medium;Medium;400–800 mm/yr;10–30;High;Loam, sandy loam;0.5;1.5;3.0 (seed);;;;;;
Sesame (Sesamum indicum);~3000–2000 BP;Indian subcontinent / Africa;Shallow;Low–medium;500–1200 mm/yr;20–35;High;Light, well-drained soils;0.2;0.6;1.5;;;;;;
Flax / Linseed (Linum usitatissimum);~9000 BP;Fertile Crescent;Shallow;Medium;400–900 mm/yr;5–25;Medium;Loam, clay loam;0.4;1.2;2.5;;;;;;
Cotton (Gossypium spp.);~6000–5000 BP;Indus Valley / Americas (multiple centers);Medium;Medium;500–1500 mm/yr;20–35;High;Sandy loam;0.5;1.5;3.5 (lint t/ha);;;;;;
Hemp (Cannabis sativa — cultivated for fiber/seed);Ancient (Neolithic);Central Asia;Shallow–medium;Medium;400–1000 mm/yr;10–30;Medium;Loam, sandy loam;0.5;1;3.0 (seed/fiber yields vary);;;;;;
Sugar beet (Beta vulgaris);Domesticated 18th–19th c.;Mediterranean/Europe;Deep;High;500–1000 mm/yr;5–25;Medium;Loam, deep fertile soil;30;50;80 (sugar beet root t/ha);;;;;;
Rapeseed / Canola (Brassica napus);Recent domestication (~400–600 years);Europe/Asia (hybrid origins);Medium;Medium–rich;400–800 mm/yr;5–25;Medium;Loam, clay loam;1;2.5;4.5 (seed);;;;;;
Oil palm (Elaeis guineensis);~3000 BP (cultivated);West/Central Africa;Shallow–deep;High;1500–3000 mm/yr;24–32;High;Deep, well-drained loam;10;20;40 (fresh fruit bunch t/ha);;;;;;
Rapeseed (Brassica rapa/napus);Domesticated historically;Europe/Asia;Medium;Medium;400–800 mm/yr;5–25;Medium;Loam;1;2;4;;;;;;
Pistachio (Pistacia vera);~3000 BP;Central Asia / Iran;Deep;Low–medium;200–500 mm/yr (irrigated);-5–42;High;Well-drained loam, stony soils;0.3;1.2;3;;;;;;
Almond (Prunus dulcis);~4000–3000 BP;Central Asia / Middle East;Medium–deep;Medium;300–600 mm/yr;5–35;High;Deep well-drained loam;0.5;1.5;3.5;;;;;;
Walnut (Juglans regia);~6000 BP;Central Asia;Deep;Medium–rich;500–1000 mm/yr;0–30;Medium;Deep loam;1;3;8;;;;;;
Chestnut (Castanea spp.);Ancient;Eurasia / North America;Deep;Medium;600–1200 mm/yr;5–25;Medium;Loam, well-drained;1;4;10;;;;;;
Hazelnut / Filbert (Corylus avellana);Ancient;Europe/Western Asia;Shallow–medium;Medium;600–1200 mm/yr;0–25;Medium;Loam, well-drained;0.5;2;5;;;;;;
Chestnut (Castanea sativa);Ancient;Mediterranean;Deep;Medium;600–1200 mm/yr;5–25;Medium;Loam;1;4;10;;;;;;
Coconut (Cocos nucifera);Ancient;Indo-Pacific (multiple centres);Shallow–medium;High;1500–3000 mm/yr;20–30;High;Sandy, coastal loam;5;15;75;;;;;;
Cashew (Anacardium occidentale);~3000 BP (cultivated);Brazil (domesticated later in India);Shallow–medium;Low–medium;800–2000 mm/yr;20–30;High;Sandy loam;0.2;0.8;3;;;;;;
Coffee robusta (Coffea canephora);Domesticated later;Central/West Africa;Shallow–medium;Medium–rich;1200–2500 mm/yr;18–28;Medium;Loam;0.4;1.2;2.5;;;;;;
Taro / Colocasia (Colocasia esculenta);Ancient;Southeast Asia / New Guinea;Shallow–medium;Medium;1500–3000 mm/yr;20–30;High;Clay loam, wet soils;10;20;60;;;;;;
Arrowroot (Maranta arundinacea);Ancient;Tropical Americas;Shallow;Medium;1500–2500 mm/yr;20–30;High;Sandy loam;5;10;25;;;;;;
Kudzu (Pueraria lobata — cultivated historically for forage/fiber in Asia);Ancient;East Asia;Deep;Medium;800–2000 mm/yr;10–30;High;Loam;5;15;30;;;;;;
Salsify & Scorzonera (root vegetables; cultivated historically);Historical;Eurasia;Medium;Medium;400–1000 mm/yr;5–25;Medium;Loam;2;8;15;;;;;
